"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Midland County, TX"	"48329"	18	3034	5.9	Suppressed	Suppressed
	"Montgomery County, TX"	"48339"	31	7338	4.2	2.9	6.0
	"Nueces County, TX"	"48355"	38	5056	7.5	5.3	10.3
	"Orange County, TX"	"48361"	11	1223	9.0	Suppressed	Suppressed
	"Potter County, TX"	"48375"	16	1945	8.2	Suppressed	Suppressed
	"Smith County, TX"	"48423"	30	3110	9.6	6.5	13.8
	"Tarrant County, TX"	"48439"	177	28370	6.2	5.3	7.2
	"Taylor County, TX"	"48441"	15	2097	7.2	Suppressed	Suppressed
	"Travis County, TX"	"48453"	66	16304	4.0	3.1	5.2
	"Victoria County, TX"	"48469"	13	1363	9.5	Suppressed	Suppressed
	"Webb County, TX"	"48479"	25	5356	4.7	3.0	6.9
	"Wichita County, TX"	"48485"	10	1741	5.7	Suppressed	Suppressed
	"Williamson County, TX"	"48491"	26	6433	4.0	2.6	5.9
	"Davis County, UT"	"49011"	31	5878	5.3	3.6	7.5
	"Salt Lake County, UT"	"49035"	82	17398	4.7	3.7	5.9
	"Utah County, UT"	"49049"	64	11945	5.4	4.1	6.8
	"Weber County, UT"	"49057"	25	3926	6.4	4.1	9.4
	"Chesterfield County, VA"	"51041"	18	3803	4.7	Suppressed	Suppressed
	"Fairfax County, VA"	"51059"	55	14448	3.8	2.9	5.0
	"Henrico County, VA"	"51087"	39	3997	9.8	6.9	13.3
	"Loudoun County, VA"	"51107"	24	5307	4.5	2.9	6.7
	"Prince William County, VA"	"51153"	33	6858	4.8	3.3	6.8
	"Stafford County, VA"	"51179"	15	1665	9.0	Suppressed	Suppressed
	"Alexandria city, VA"	"51510"	14	2857	4.9	Suppressed	Suppressed
	"Chesapeake city, VA"	"51550"	25	2988	8.4	5.4	12.4
	"Danville city, VA"	"51590"	11	537	20.5	Suppressed	Suppressed
	"Hampton city, VA"	"51650"	16	1640	9.8	Suppressed	Suppressed
	"Newport News city, VA"	"51700"	21	2804	7.5	4.6	11.4
	"Norfolk city, VA"	"51710"	25	3743	6.7	4.3	9.9
	"Portsmouth city, VA"	"51740"	17	1545	11.0	Suppressed	Suppressed
	"Richmond city, VA"	"51760"	39	3111	12.5	8.9	17.1
	"Roanoke city, VA"	"51770"	13	1614	8.1	Suppressed	Suppressed
	"Suffolk city, VA"	"51800"	11	1242	8.9	Suppressed	Suppressed
	"Virginia Beach city, VA"	"51810"	34	6110	5.6	3.9	7.8
	"Benton County, WA"	"53005"	15	2670	5.6	Suppressed	Suppressed
	"Clark County, WA"	"53011"	24	5560	4.3	2.8	6.4
	"King County, WA"	"53033"	94	25487	3.7	3.0	4.5
	"Kitsap County, WA"	"53035"	18	3058	5.9	Suppressed	Suppressed
	"Lewis County, WA"	"53041"	13	892	14.6	Suppressed	Suppressed
	"Pierce County, WA"	"53053"	62	11539	5.4	4.1	6.9
	"Snohomish County, WA"	"53061"	41	9768	4.2	3.0	5.7
	"Spokane County, WA"	"53063"	36	6043	6.0	4.2	8.2
	"Thurston County, WA"	"53067"	19	3069	6.2	Suppressed	Suppressed
	"Whatcom County, WA"	"53073"	14	2373	5.9	Suppressed	Suppressed
	"Yakima County, WA"	"53077"	16	3994	4.0	Suppressed	Suppressed
	"Raleigh County, WV"	"54081"	11	823	13.4	Suppressed	Suppressed
	"Brown County, WI"	"55009"	18	3418	5.3	Suppressed	Suppressed
	"Dane County, WI"	"55025"	38	6178	6.2	4.4	8.4
	"Kenosha County, WI"	"55059"	14	1911	7.3	Suppressed	Suppressed
	"Marathon County, WI"	"55073"	11	1622	6.8	Suppressed	Suppressed
	"Milwaukee County, WI"	"55079"	117	13915	8.4	6.9	9.9
	"Outagamie County, WI"	"55087"	13	2368	5.5	Suppressed	Suppressed
	"Racine County, WI"	"55101"	23	2400	9.6	6.1	14.4
	"Waukesha County, WI"	"55133"	14	3703	3.8	Suppressed	Suppressed
	"Winnebago County, WI"	"55139"	11	1916	5.7	Suppressed	Suppressed
"Total"			23455	3978497	5.9	5.8	6.0
"---"
"Dataset: Compressed Mortality, 1999-2015"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Gender: All"
"Hispanic Origin: All"
"ICD-10 Codes: All"
"Infant Age Groups: All Infant Ages"
"Race: All"
"States: All"
"Year: 2015"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Oct 20, 2017 7:19:44 PM"
"---"
