"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
"Total"	"Ventura County, CA"	"06111"			49	11770	4.2	3.1	5.5
"Total"	"Yolo County, CA"	"06113"			10	4348	2.3 (Unreliable)	1.1	4.2
"Total"	"Adams County, CO"	"08001"			30	4964	6.0	4.1	8.6
"Total"	"Arapahoe County, CO"	"08005"			32	7095	4.5	3.1	6.4
"Total"	"Boulder County, CO"	"08013"			10	3004	3.3 (Unreliable)	1.6	6.1
"Total"	"Denver County, CO"	"08031"			34	5785	5.9	4.1	8.2
"Total"	"El Paso County, CO"	"08041"			20	5413	3.7	2.3	5.7
"Total"	"Jefferson County, CO"	"08059"			21	3542	5.9	3.7	9.1
"Total"	"Fairfield County, CT"	"09001"			32	11566	2.8	1.9	3.9
"Total"	"Hartford County, CT"	"09003"			37	9849	3.8	2.6	5.2
"Total"	"New Haven County, CT"	"09009"			31	7772	4.0	2.7	5.7
"Total"	"New London County, CT"	"09011"			11	2399	4.6 (Unreliable)	2.3	8.2
"Total"	"New Castle County, DE"	"10003"			23	6676	3.4	2.2	5.2
"Total"	"District of Columbia, DC"	"11001"			15	4639	3.2 (Unreliable)	1.8	5.3
"Total"	"Alachua County, FL"	"12001"			10	2594	3.9 (Unreliable)	1.8	7.1
"Total"	"Broward County, FL"	"12011"			42	14129	3.0	2.1	4.0
"Total"	"Duval County, FL"	"12031"			56	9311	6.0	4.5	7.8
"Total"	"Hillsborough County, FL"	"12057"			49	10432	4.7	3.5	6.2
"Total"	"Leon County, FL"	"12073"			10	1991	5.0 (Unreliable)	2.4	9.2
"Total"	"Miami-Dade County, FL"	"12086"			28	7889	3.5	2.4	5.1
"Total"	"Orange County, FL"	"12095"			40	12629	3.2	2.3	4.3
"Total"	"Osceola County, FL"	"12097"			12	2053	5.8 (Unreliable)	3.0	10.2
"Total"	"Palm Beach County, FL"	"12099"			12	7154	1.7 (Unreliable)	0.9	2.9
"Total"	"Pinellas County, FL"	"12103"			18	6372	2.8 (Unreliable)	1.7	4.5
"Total"	"Clayton County, GA"	"13063"			17	3574	4.8 (Unreliable)	2.8	7.6
"Total"	"Cobb County, GA"	"13067"			23	8662	2.7	1.7	4.0
"Total"	"DeKalb County, GA"	"13089"			36	12565	2.9	2.0	4.0
"Total"	"Fulton County, GA"	"13121"			41	12219	3.4	2.4	4.6
"Total"	"Gwinnett County, GA"	"13135"			75	20437	3.7	2.9	4.6
"Total"	"Henry County, GA"	"13151"			12	1275	9.4 (Unreliable)	4.9	16.4
"Total"	"Muscogee County, GA"	"13215"			11	1240	8.9 (Unreliable)	4.4	15.9
	"Hawaii County, HI"	"15001"	"1999"	"1999"	13	1208	10.8 (Unreliable)	5.7	18.4
	"Hawaii County, HI"	"15001"	"2000"	"2000"	16	1199	13.3 (Unreliable)	7.6	21.7
	"Hawaii County, HI"	"15001"	"2003"	"2003"	17	1316	12.9 (Unreliable)	7.5	20.7
	"Hawaii County, HI"	"15001"	"2004"	"2004"	11	1399	7.9 (Unreliable)	3.9	14.1
	"Hawaii County, HI"	"15001"	"2005"	"2005"	12	1451	8.3 (Unreliable)	4.3	14.4
	"Hawaii County, HI"	"15001"	"2006"	"2006"	10	1438	7.0 (Unreliable)	3.3	12.8
	"Hawaii County, HI"	"15001"	"2007"	"2007"	12	1570	7.6 (Unreliable)	3.9	13.4
	"Hawaii County, HI"	"15001"	"2008"	"2008"	11	1665	6.6 (Unreliable)	3.3	11.8
	"Hawaii County, HI"	"15001"	"2009"	"2009"	17	1667	10.2 (Unreliable)	5.9	16.3
	"Hawaii County, HI"	"15001"	"2010"	"2010"	11	1572	7.0 (Unreliable)	3.5	12.5
	"Hawaii County, HI"	"15001"	"2011"	"2011"	11	1508	7.3 (Unreliable)	3.6	13.1
"Total"	"Hawaii County, HI"	"15001"			179	24565	7.3	6.2	8.4
	"Honolulu County, HI"	"15003"	"1999"	"1999"	74	7502	9.9	7.7	12.4
	"Honolulu County, HI"	"15003"	"2000"	"2000"	78	7422	10.5	8.3	13.1
	"Honolulu County, HI"	"15003"	"2001"	"2001"	58	8452	6.9	5.2	8.9
	"Honolulu County, HI"	"15003"	"2002"	"2002"	80	8187	9.8	7.7	12.2
	"Honolulu County, HI"	"15003"	"2003"	"2003"	70	8397	8.3	6.5	10.5
	"Honolulu County, HI"	"15003"	"2004"	"2004"	47	8701	5.4	4.0	7.2
	"Honolulu County, HI"	"15003"	"2005"	"2005"	57	8472	6.7	5.1	8.7
	"Honolulu County, HI"	"15003"	"2006"	"2006"	59	8313	7.1	5.4	9.2
	"Honolulu County, HI"	"15003"	"2007"	"2007"	61	8799	6.9	5.3	8.9
	"Honolulu County, HI"	"15003"	"2008"	"2008"	57	8686	6.6	5.0	8.5
